,Inventory,Type,Date,Due Date,Num,Name,Qty,Invoiced,Backordered,Amount,Open Balance,Month,Year
2800,K711 (DREADLOCKS TUBE : BLACK (DZ/24 DZ)),Sales Order,05/16/2018,07/15/2018,A29789,P&J TRADING (MD),12.0,0.0,12.0,144.0,144.0,5,2018
2801,K711 (DREADLOCKS TUBE : BLACK (DZ/24 DZ)),Sales Order,05/17/2018,06/16/2018,A29794,BEN'S (MD) BEAUTY SUPPLY DISTRIBUTOR INC.,12.0,0.0,12.0,144.0,144.0,5,2018
2802,K711 (DREADLOCKS TUBE : BLACK (DZ/24 DZ)),Sales Order,05/21/2018,06/20/2018,A29809,"UNION SALES, INC.",24.0,0.0,24.0,288.0,288.0,5,2018
2803,K711 (DREADLOCKS TUBE : BLACK (DZ/24 DZ)),Sales Order,05/21/2018,06/20/2018,A29817,HAIR DEPOT PLUS(WARREN),1.0,0.0,1.0,12.0,12.0,5,2018
2804,K711 (DREADLOCKS TUBE : BLACK (DZ/24 DZ)),Sales Order,05/21/2018,07/20/2018,A29819,P&J TRADING (MD),12.0,0.0,12.0,144.0,144.0,5,2018
2805,K711 (DREADLOCKS TUBE : BLACK (DZ/24 DZ)),Sales Order,05/21/2018,06/20/2018,A29820,FASHION POINT(10/21/19 close notice),12.0,0.0,12.0,144.0,144.0,5,2018
2806,K711 (DREADLOCKS TUBE : BLACK (DZ/24 DZ)),Sales Order,05/21/2018,06/20/2018,A29823,C&L TRADING OF MIAMI,24.0,0.0,24.0,288.0,288.0,5,2018
2807,K711 (DREADLOCKS TUBE : BLACK (DZ/24 DZ)),Sales Order,05/21/2018,06/20/2018,A29825,C&L TRADING OF MIAMI,24.0,0.0,24.0,288.0,288.0,5,2018
2808,K711 (DREADLOCKS TUBE : BLACK (DZ/24 DZ)),Sales Order,05/22/2018,06/21/2018,A29829,US IMPORT,6.0,4.0,2.0,72.0,24.0,5,2018
2809,K711 (DREADLOCKS TUBE : BLACK (DZ/24 DZ)),Sales Order,05/22/2018,06/21/2018,A29834,PRIME CK,6.0,0.0,6.0,72.0,72.0,5,2018
2810,K711 (DREADLOCKS TUBE : BLACK (DZ/24 DZ)),Sales Order,05/23/2018,07/22/2018,A29844,MISSION TRADING,6.0,0.0,6.0,72.0,72.0,5,2018
2811,K711 (DREADLOCKS TUBE : BLACK (DZ/24 DZ)),Sales Order,05/24/2018,05/24/2018,A29846,EBS IMPORT&WHOLESALE (GA),2.0,0.0,2.0,24.0,24.0,5,2018
2812,K711 (DREADLOCKS TUBE : BLACK (DZ/24 DZ)),Sales Order,05/24/2018,06/23/2018,A29854,DASO TRADING INC.,12.0,0.0,12.0,144.0,144.0,5,2018
2813,K711 (DREADLOCKS TUBE : BLACK (DZ/24 DZ)),Sales Order,05/25/2018,05/25/2018,A29860,CLORE CANADA INC.,3.0,0.0,3.0,36.0,36.0,5,2018
2814,K711 (DREADLOCKS TUBE : BLACK (DZ/24 DZ)),Sales Order,05/29/2018,06/28/2018,A29867,"UNION SALES, INC.",24.0,0.0,24.0,288.0,288.0,5,2018
2815,K711 (DREADLOCKS TUBE : BLACK (DZ/24 DZ)),Sales Order,05/30/2018,07/29/2018,A29870,P&J TRADING (MD),12.0,0.0,12.0,144.0,144.0,5,2018
2816,K711 (DREADLOCKS TUBE : BLACK (DZ/24 DZ)),Sales Order,05/30/2018,06/29/2018,A29872,US IMPORT,6.0,0.0,6.0,72.0,72.0,5,2018
2817,K711 (DREADLOCKS TUBE : BLACK (DZ/24 DZ)),Sales Order,06/04/2018,08/03/2018,A29876,"WURI, INC.",12.0,0.0,12.0,144.0,144.0,6,2018
2818,K711 (DREADLOCKS TUBE : BLACK (DZ/24 DZ)),Sales Order,06/04/2018,08/03/2018,A29877,SUN 3 TRADING LLC.,12.0,0.0,12.0,144.0,144.0,6,2018
2819,K711 (DREADLOCKS TUBE : BLACK (DZ/24 DZ)),Sales Order,06/04/2018,07/04/2018,A29878,C&L TRADING OF MIAMI,48.0,0.0,48.0,576.0,576.0,6,2018
2820,K711 (DREADLOCKS TUBE : BLACK (DZ/24 DZ)),Sales Order,06/04/2018,06/19/2018,A29887,"2J GROUP, INC.",3.0,0.0,3.0,36.0,36.0,6,2018
2821,K711 (DREADLOCKS TUBE : BLACK (DZ/24 DZ)),Sales Order,06/04/2018,07/04/2018,A29890,"BEAUTY DEPOT (JACKSON, MS)",1.0,0.0,1.0,16.5,16.5,6,2018
2822,K711 (DREADLOCKS TUBE : BLACK (DZ/24 DZ)),Sales Order,06/25/2018,06/25/2018,A29985,MELVIRA'S HAIR STUDIO,1.0,0.0,1.0,24.0,24.0,6,2018
2823,K711 (DREADLOCKS TUBE : BLACK (DZ/24 DZ)),Sales Order,08/30/2018,09/29/2018,A30292,HAIR DEPOT PLUS(WARREN),12.0,0.0,12.0,144.0,144.0,8,2018
2824,K711 (DREADLOCKS TUBE : BLACK (DZ/24 DZ)),Sales Order,11/07/2018,12/07/2018,A30601,BESCO (GA),3.0,0.0,3.0,36.0,36.0,11,2018
2825,K711 (DREADLOCKS TUBE : BLACK (DZ/24 DZ)),Sales Order,03/04/2019,05/03/2019,A31284,"WURI, INC.",6.0,0.0,6.0,72.0,72.0,3,2019
2826,K711 (DREADLOCKS TUBE : BLACK (DZ/24 DZ)),Sales Order,05/06/2019,07/05/2019,A31659,"ALICIA INTERNATIONAL, INC.",4.0,0.0,4.0,48.0,48.0,5,2019
2827,K711 (DREADLOCKS TUBE : BLACK (DZ/24 DZ)),Sales Order,06/04/2019,07/04/2019,A31821,PRIME CK,3.0,0.0,3.0,36.0,36.0,6,2019
2828,K711 (DREADLOCKS TUBE : BLACK (DZ/24 DZ)),Sales Order,07/02/2019,08/01/2019,A31971,BEN'S (MD) BEAUTY SUPPLY DISTRIBUTOR INC.,12.0,0.0,12.0,144.0,144.0,7,2019
2829,K711 (DREADLOCKS TUBE : BLACK (DZ/24 DZ)),Sales Order,08/22/2019,09/21/2019,A32201,EXPO TRADING,6.0,0.0,6.0,72.0,72.0,8,2019
2830,K711 (DREADLOCKS TUBE : BLACK (DZ/24 DZ)),Sales Order,10/01/2019,10/16/2019,A32422,BEAUTY CASTLE,12.0,0.0,12.0,144.0,144.0,10,2019
2831,K711 (DREADLOCKS TUBE : BLACK (DZ/24 DZ)),Sales Order,02/12/2020,03/13/2020,A33081,WAKE BEAUTY,3.0,0.0,3.0,36.0,36.0,2,2020
2832,K711 (DREADLOCKS TUBE : BLACK (DZ/24 DZ)),Sales Order,05/21/2020,06/05/2020,A33663,BEAUTY MART 1 (BEAUTY STORE),1.0,0.0,1.0,16.5,16.5,5,2020
2833,K711 (DREADLOCKS TUBE : BLACK (DZ/24 DZ)),Sales Order,06/29/2020,07/29/2020,A33891,PRIME CK,6.0,0.0,6.0,72.0,72.0,6,2020
2834,K711 (DREADLOCKS TUBE : BLACK (DZ/24 DZ)),Sales Order,06/29/2020,07/29/2020,A33897,C&L TRADING OF MIAMI,24.0,0.0,24.0,288.0,288.0,6,2020
2835,K711 (DREADLOCKS TUBE : BLACK (DZ/24 DZ)),Sales Order,06/29/2020,06/29/2020,A33898,D&G TRADING,6.0,0.0,6.0,72.0,72.0,6,2020
2836,K711 (DREADLOCKS TUBE : BLACK (DZ/24 DZ)),Sales Order,06/29/2020,07/29/2020,A33900,KINGS BEAUTY SUPPLY (MAULDIN SC),1.0,0.0,1.0,16.5,16.5,6,2020
2837,K720 (SPORT BAND SET (3PCS) : ASSORT (DZ/24 DZ)),Sales Order,06/15/2018,07/15/2018,A29940,"TEN TEN US TRADING, CORP.",24.0,0.0,24.0,132.0,132.0,6,2018
2838,K720 (SPORT BAND SET (3PCS) : ASSORT (DZ/24 DZ)),Sales Order,06/25/2018,07/25/2018,A29987,US IMPORT,6.0,0.0,6.0,33.0,33.0,6,2018
2839,K720 (SPORT BAND SET (3PCS) : ASSORT (DZ/24 DZ)),Sales Order,08/03/2018,10/02/2018,A30132,YOUNG'S TRADING (GA),6.0,0.0,6.0,33.0,33.0,8,2018
2840,K720 (SPORT BAND SET (3PCS) : ASSORT (DZ/24 DZ)),Sales Order,08/06/2018,10/05/2018,A30161,SUN 3 TRADING LLC.,3.0,1.0,2.0,16.5,11.0,8,2018
2841,K720 (SPORT BAND SET (3PCS) : ASSORT (DZ/24 DZ)),Sales Order,08/08/2018,10/07/2018,A30177,YOUNG'S TRADING (GA),6.0,0.0,6.0,33.0,33.0,8,2018
2842,K720 (SPORT BAND SET (3PCS) : ASSORT (DZ/24 DZ)),Sales Order,08/15/2018,10/14/2018,A30214,YOUNG'S TRADING (GA),6.0,0.0,6.0,33.0,33.0,8,2018
2843,K720 (SPORT BAND SET (3PCS) : ASSORT (DZ/24 DZ)),Sales Order,08/17/2018,09/16/2018,A30235,7 DOLLAR BEAUTY SUPPLY,24.0,0.0,24.0,132.0,132.0,8,2018
2844,K720 (SPORT BAND SET (3PCS) : ASSORT (DZ/24 DZ)),Sales Order,08/17/2018,09/16/2018,A30238,BEN'S (TX) BEAUTY SUPPLY DISTRIBUTOR INC.,24.0,0.0,24.0,132.0,132.0,8,2018
2845,K720 (SPORT BAND SET (3PCS) : ASSORT (DZ/24 DZ)),Sales Order,08/22/2018,10/21/2018,A30255,YOUNG'S TRADING (GA),6.0,0.0,6.0,33.0,33.0,8,2018
2846,K720 (SPORT BAND SET (3PCS) : ASSORT (DZ/24 DZ)),Sales Order,08/24/2018,09/08/2018,A30267,BEAUTY MART 1 (BEAUTY STORE),1.0,0.0,1.0,7.5,7.5,8,2018
2847,K720 (SPORT BAND SET (3PCS) : ASSORT (DZ/24 DZ)),Sales Order,09/18/2018,11/17/2018,A30363,P&J TRADING (MD),3.0,0.0,3.0,16.5,16.5,9,2018
2848,K720 (SPORT BAND SET (3PCS) : ASSORT (DZ/24 DZ)),Sales Order,09/26/2018,11/25/2018,A30409,P&J TRADING (MD),6.0,0.0,6.0,33.0,33.0,9,2018
2849,K720 (SPORT BAND SET (3PCS) : ASSORT (DZ/24 DZ)),Sales Order,09/28/2018,09/28/2018,A30417,EBS IMPORT&WHOLESALE (GA),1.0,0.0,1.0,5.5,5.5,9,2018
2850,K720 (SPORT BAND SET (3PCS) : ASSORT (DZ/24 DZ)),Sales Order,10/02/2018,12/01/2018,A30433,YOUNG'S TRADING (GA),6.0,0.0,6.0,33.0,33.0,10,2018
2851,K720 (SPORT BAND SET (3PCS) : ASSORT (DZ/24 DZ)),Sales Order,10/22/2018,11/21/2018,A30525,BEN'S (TX) BEAUTY SUPPLY DISTRIBUTOR INC.,24.0,0.0,24.0,132.0,132.0,10,2018
2852,K720 (SPORT BAND SET (3PCS) : ASSORT (DZ/24 DZ)),Sales Order,10/24/2018,11/23/2018,A30540,7 DOLLAR BEAUTY SUPPLY,24.0,0.0,24.0,132.0,132.0,10,2018
2853,K720 (SPORT BAND SET (3PCS) : ASSORT (DZ/24 DZ)),Sales Order,11/19/2018,11/19/2018,A30678,JUST INCREDIBLE HAIR INC.(CANADA),1.0,0.0,1.0,7.5,7.5,11,2018
2854,K720 (SPORT BAND SET (3PCS) : ASSORT (DZ/24 DZ)),Sales Order,12/06/2018,02/04/2019,A30761,P&J TRADING (MD),6.0,0.0,6.0,33.0,33.0,12,2018
2855,K720 (SPORT BAND SET (3PCS) : ASSORT (DZ/24 DZ)),Sales Order,12/17/2018,02/15/2019,A30820,P&J TRADING (MD),6.0,0.0,6.0,33.0,33.0,12,2018
2856,K720 (SPORT BAND SET (3PCS) : ASSORT (DZ/24 DZ)),Sales Order,12/26/2018,02/24/2019,A30878,P&J TRADING (MD),6.0,0.0,6.0,33.0,33.0,12,2018
2857,K720 (SPORT BAND SET (3PCS) : ASSORT (DZ/24 DZ)),Sales Order,01/15/2019,02/14/2019,A30987,BEN'S (TX) BEAUTY SUPPLY DISTRIBUTOR INC.,24.0,0.0,24.0,132.0,132.0,1,2019
2858,K720 (SPORT BAND SET (3PCS) : ASSORT (DZ/24 DZ)),Sales Order,01/28/2019,03/29/2019,A31055,P&J TRADING (MD),6.0,0.0,6.0,33.0,33.0,1,2019
2859,K720 (SPORT BAND SET (3PCS) : ASSORT (DZ/24 DZ)),Sales Order,02/15/2019,03/17/2019,A31186,"BEAUTY DEPOT (JACKSON, MS)",1.0,0.0,1.0,7.5,7.5,2,2019
2860,K720 (SPORT BAND SET (3PCS) : ASSORT (DZ/24 DZ)),Sales Order,02/18/2019,04/19/2019,A31195,P&J TRADING (MD),6.0,0.0,6.0,33.0,33.0,2,2019
2861,K720 (SPORT BAND SET (3PCS) : ASSORT (DZ/24 DZ)),Sales Order,02/27/2019,04/28/2019,A31258,P&J TRADING (MD),6.0,0.0,6.0,33.0,33.0,2,2019
2862,K720 (SPORT BAND SET (3PCS) : ASSORT (DZ/24 DZ)),Sales Order,03/04/2019,03/04/2019,A31281,AMIRA,1.0,0.0,1.0,9.0,9.0,3,2019
2863,K720 (SPORT BAND SET (3PCS) : ASSORT (DZ/24 DZ)),Sales Order,03/14/2019,05/13/2019,A31359,P&J TRADING (MD),6.0,0.0,6.0,33.0,33.0,3,2019
2864,K720 (SPORT BAND SET (3PCS) : ASSORT (DZ/24 DZ)),Sales Order,04/03/2019,05/03/2019,A31484,BEN'S (TX) BEAUTY SUPPLY DISTRIBUTOR INC.,24.0,0.0,24.0,132.0,132.0,4,2019
2865,K720 (SPORT BAND SET (3PCS) : ASSORT (DZ/24 DZ)),Sales Order,04/04/2019,06/03/2019,A31490,P&J TRADING (MD),12.0,0.0,12.0,66.0,66.0,4,2019
2866,K720 (SPORT BAND SET (3PCS) : ASSORT (DZ/24 DZ)),Sales Order,04/10/2019,05/10/2019,A31516,US IMPORT,6.0,0.0,6.0,33.0,33.0,4,2019
2867,K720 (SPORT BAND SET (3PCS) : ASSORT (DZ/24 DZ)),Sales Order,04/15/2019,04/30/2019,A31535,BYESSENCE BEAUTY(J&D ENT.),6.0,0.0,6.0,33.0,33.0,4,2019
2868,K720 (SPORT BAND SET (3PCS) : ASSORT (DZ/24 DZ)),Sales Order,04/15/2019,05/15/2019,A31541,EVERGREEN BEAUTY,1.0,0.0,1.0,7.5,7.5,4,2019
2869,K720 (SPORT BAND SET (3PCS) : ASSORT (DZ/24 DZ)),Sales Order,04/16/2019,05/16/2019,A31548,US IMPORT,6.0,0.0,6.0,33.0,33.0,4,2019
2870,K720 (SPORT BAND SET (3PCS) : ASSORT (DZ/24 DZ)),Sales Order,04/18/2019,05/18/2019,A31559,"TEN TEN US TRADING, CORP.",24.0,0.0,24.0,132.0,132.0,4,2019
2871,K720 (SPORT BAND SET (3PCS) : ASSORT (DZ/24 DZ)),Sales Order,04/24/2019,06/23/2019,A31591,P&J TRADING (MD),6.0,0.0,6.0,33.0,33.0,4,2019
2872,K720 (SPORT BAND SET (3PCS) : ASSORT (DZ/24 DZ)),Sales Order,05/06/2019,06/05/2019,A31653,"TEN TEN US TRADING, CORP.",24.0,0.0,24.0,132.0,132.0,5,2019
2873,K720 (SPORT BAND SET (3PCS) : ASSORT (DZ/24 DZ)),Sales Order,05/07/2019,06/06/2019,A31666,US IMPORT,6.0,0.0,6.0,33.0,33.0,5,2019
2874,K720 (SPORT BAND SET (3PCS) : ASSORT (DZ/24 DZ)),Sales Order,05/09/2019,07/08/2019,A31678,P&J TRADING (MD),6.0,0.0,6.0,33.0,33.0,5,2019
2875,K720 (SPORT BAND SET (3PCS) : ASSORT (DZ/24 DZ)),Sales Order,05/21/2019,06/20/2019,A31750,"TEN TEN US TRADING, CORP.",24.0,0.0,24.0,132.0,132.0,5,2019
2876,K720 (SPORT BAND SET (3PCS) : ASSORT (DZ/24 DZ)),Sales Order,05/30/2019,06/29/2019,A31781,US IMPORT,6.0,0.0,6.0,33.0,33.0,5,2019
2877,K720 (SPORT BAND SET (3PCS) : ASSORT (DZ/24 DZ)),Sales Order,05/30/2019,07/29/2019,A31790,P&J TRADING (MD),12.0,0.0,12.0,66.0,66.0,5,2019
2878,K720 (SPORT BAND SET (3PCS) : ASSORT (DZ/24 DZ)),Sales Order,06/12/2019,07/12/2019,A31872,"BEAUTY DEPOT (JACKSON, MS)",1.0,0.0,1.0,7.5,7.5,6,2019
2879,K720 (SPORT BAND SET (3PCS) : ASSORT (DZ/24 DZ)),Sales Order,06/12/2019,07/12/2019,A31875,US IMPORT,6.0,0.0,6.0,33.0,33.0,6,2019
2880,K720 (SPORT BAND SET (3PCS) : ASSORT (DZ/24 DZ)),Sales Order,06/17/2019,07/17/2019,A31894,"TEN TEN US TRADING, CORP.",24.0,0.0,24.0,132.0,132.0,6,2019
2881,K720 (SPORT BAND SET (3PCS) : ASSORT (DZ/24 DZ)),Sales Order,06/19/2019,07/19/2019,A31913,US IMPORT,6.0,0.0,6.0,33.0,33.0,6,2019
2882,K720 (SPORT BAND SET (3PCS) : ASSORT (DZ/24 DZ)),Sales Order,06/24/2019,07/24/2019,A31935,LEE BEAUTY SUPPLY,2.0,0.0,2.0,15.0,15.0,6,2019
2883,K720 (SPORT BAND SET (3PCS) : ASSORT (DZ/24 DZ)),Sales Order,06/25/2019,07/25/2019,A31941,US IMPORT,6.0,0.0,6.0,33.0,33.0,6,2019
