Inventory,Qty,Amount,% of Sales,Avg Price,COGS,Avg COGS,Gross Margin,Gross Margin %
"W1208 (WIG CLIP BLISTER (2PC) : MD, BLD (DZ/72DZ))",0.00,0.00,0.0%,0.00,0.00,0.00,0.00,0.0%
"W1209 (WIG CLIP BLISTER (2PC) : LG, BLD (DZ/72DZ))",0.00,0.00,0.0%,0.00,0.00,0.00,0.00,0.0%
"W1211 (WIG CLIP POLY (2PC/3DZ) : SM, BLK (PK/50DP))",0.00,0.00,0.0%,0.00,0.00,0.00,0.00,0.0%
"W1212 (WIG CLIP POLY (2PC/3DZ) : MD, BLK (PK/50DP))",0.00,0.00,0.0%,0.00,0.00,0.00,0.00,0.0%
"W1213 (WIG CLIP POLY (2PC/3DZ) : LG, BLK (PK/50DP))",0.00,0.00,0.0%,0.00,0.00,0.00,0.00,0.0%
"W1216 (WIG CLIP BLISTER (12PCS) : SMALL, BLK (DZ/36DZ))",0.00,0.00,0.0%,0.00,0.00,0.00,0.00,0.0%
"W1217 (WIG CLIP BLISTER (12PCS) : MEDIUM, BLK (DZ/36DZ))",0.00,0.00,0.0%,0.00,0.00,0.00,0.00,0.0%
"W1218 (WIG CLIP BLISTER (12PCS) : LARGE, BLK (DZ/36DZ))",0.00,0.00,0.0%,0.00,0.00,0.00,0.00,0.0%
"W1219 (WIG CLIP BLISTER (12PCS) : JUMBO, BLK (DZ/36DZ))",0.00,0.00,0.0%,0.00,0.00,0.00,0.00,0.0%
"W1221 (WIG CLIP POLY (100PC/PK) : SM, BLK (PK/72PK))",0.00,0.00,0.0%,0.00,0.00,0.00,0.00,0.0%
"W1222 (WIG CLIP POLY (100PC/PK) : MD, BLK (PK/72PK))",0.00,0.00,0.0%,0.00,0.00,0.00,0.00,0.0%
"W1223 (WIG CLIP POLY (100PC/PK) : LG, BLK (PK/72PK))",3.00,22.50,0.0%,7.50,0.00,0.00,22.50,100.0%
"W1224 (WIG CLIP POLY (100PC/PK) : SM, BRW (PK/72PK))",0.00,0.00,0.0%,0.00,0.00,0.00,0.00,0.0%
"W1225 (WIG CLIP POLY (100PC/PK) : MD, BRW (PK/72PK))",0.00,0.00,0.0%,0.00,0.00,0.00,0.00,0.0%
"W1226 (WIG CLIP POLY (100PC/PK) : LG, BRW (PK/72PK))",0.00,0.00,0.0%,0.00,0.00,0.00,0.00,0.0%
"W1227 (WIG CLIP POLY (100PC/PK) : SM, BLD (PK/72PK))",0.00,0.00,0.0%,0.00,0.00,0.00,0.00,0.0%
"W1228 (WIG CLIP POLY (100PC/PK) : MD, BLD (PK/72PK))",0.00,0.00,0.0%,0.00,0.00,0.00,0.00,0.0%
"W1229 (WIG CLIP POLY (100PC/PK) : LG, BLD (PK/72PK))",0.00,0.00,0.0%,0.00,0.00,0.00,0.00,0.0%
"W1241 (WEAVING THREAD : 60Y, BLK (DZ/100DZ))",15.00,35.00,0.0%,2.33,7.60,0.51,27.40,78.29%
"W1242 (WEAVING THREAD : 160Y, BLK (DZ/100DZ))",16.00,64.00,0.0%,4.00,24.45,1.53,39.55,61.8%
"W1243 (WEAVING THREAD : 60Y, BRW (DZ/100DZ))",0.00,0.00,0.0%,0.00,0.00,0.00,0.00,0.0%
"W1244 (WEAVING THREAD : 160Y, BRW (DZ/100DZ))",0.00,0.00,0.0%,0.00,0.00,0.00,0.00,0.0%
"W1245 (WEAVING THREAD : 60Y, BLD (DZ/100DZ))",2.00,3.00,0.0%,1.50,1.10,0.55,1.90,63.33%
"W1246 (WEAVING THREAD : 160Y, BLD (DZ/100DZ))",0.00,0.00,0.0%,0.00,0.00,0.00,0.00,0.0%
"W1247 (WEAVING THREAD : 60Y, BGD (DZ/100DZ))",10.00,15.00,0.0%,1.50,0.00,0.00,15.00,100.0%
"W1251 (WEAVING THREAD & NEEDLE : A, BLK (DZ/36DZ))",7.00,32.00,0.0%,4.57,13.58,1.94,18.42,57.56%
"W1252 (WEAVING THREAD & NEEDLE : B, BLK (DZ/24DZ))",12.00,108.00,0.0%,9.00,33.42,2.79,74.58,69.06%
"W1253 (WEAVING THREAD & NEEDLE : A, BRW (DZ/36DZ))",0.00,0.00,0.0%,0.00,0.00,0.00,0.00,0.0%
"W1254 (WEAVING THREAD & NEEDLE : B, BRW (DZ/24DZ))",0.00,0.00,0.0%,0.00,0.00,0.00,0.00,0.0%
"W1255 (WEAVING THREAD & NEEDLE : A, BLD (DZ/36DZ))",0.00,0.00,0.0%,0.00,0.00,0.00,0.00,0.0%
"W1256 (WEAVING THREAD & NEEDLE : B, BLD (DZ/24DZ))",0.00,0.00,0.0%,0.00,0.00,0.00,0.00,0.0%
"W1257 (WEAVING THREAD & NEEDLE : A, SLV (DZ/36DZ))",0.00,0.00,0.0%,0.00,0.00,0.00,0.00,0.0%
"W1258 (WEAVING THREAD & NEEDLE : B, SLV (DZ/24DZ))",0.00,0.00,0.0%,0.00,0.00,0.00,0.00,0.0%
W1260 (WEAVING NEEDLE BIG C TYPE (12PCS) : SLV (DZ/60DZ)),-4.00,-96.00,0.0%,24.00,-10.27,2.57,-85.73,89.3%
W1261 (WEAVING NEEDLE  I  TYPE (12PCS) : SLV (DZ/60DZ)),0.00,0.00,0.0%,0.00,0.00,0.00,0.00,0.0%
W1262 (WEAVING NEEDLE  J  TYPE (12PCS) : SLV (DZ/60DZ)),0.00,0.00,0.0%,0.00,0.00,0.00,0.00,0.0%
W1263 (WEAVING NEEDLE C  TYPE (12PCS) : SLV (DZ/60DZ)),1.00,14.00,0.0%,14.00,2.13,2.13,11.87,84.79%
"W1264 (T-PIN : 1 1/2"" (DZ/54DZ))",87.00,317.40,0.0%,3.65,208.80,2.40,108.60,34.22%
"W1265 (CROCHET NEEDLE #1, 12PCS BULK (PK/48PK))",0.00,0.00,0.0%,0.00,0.00,0.00,0.00,0.0%
W1271 (WIG STAND : ASSORT (DZ/6DZ)),7.00,120.00,0.0%,17.14,43.91,6.27,76.09,63.41%
"W1272 (WIG COMB , DETANGLER : ASST.(DZ/24DZ))",4.00,44.00,0.0%,11.00,8.63,2.16,35.37,80.39%
W1274 (WEAVING THREAD 500Y : BLACK (DZ/16DZ)),17.00,139.00,0.0%,8.18,108.80,6.40,30.20,21.73%
W1275 (WEAVING THREAD 1000Y : BLACK (PC/9DZ)),49.00,99.00,0.0%,2.02,44.10,0.90,54.90,55.46%
W1276 (WEAVING THREAD 2000Y : BLACK (PC/6DZ)),12.00,36.00,0.0%,3.00,16.80,1.40,19.20,53.33%
"W1277 (WEAVING THREAD 60Y, NYLON : BK (DZ/48DZ))",0.00,0.00,0.0%,0.00,0.00,0.00,0.00,0.0%
