Inventory,Qty,Amount,% of Sales,Avg Price,COGS,Avg COGS,Gross Margin,Gross Margin %
K053 (KID DU-RAG (TWO TONE) : ASSORTED (DZ/48 DZ)),1.00,6.00,0.0%,6.00,0.00,0.00,6.00,100.0%
K058 (KID STOCKING CAP : ASSORT (DZ/60 DZ)),106.00,377.00,0.0%,3.56,169.60,1.60,207.40,55.01%
K059 (KID STOCKING CAP : BLACK (DZ/60 DZ)),31.00,108.50,0.0%,3.50,48.05,1.55,60.45,55.71%
K060 (STOCKING WAVE-CAP (2 PC) : ASSORT (DZ/60 DZ)),357.00,"1,258.50",0.0%,3.53,624.75,1.75,633.75,50.36%
K061 (STOCKING WAVE-CAP (2 PC) : BLACK (DZ/60 DZ)),947.00,"3,323.50",0.0%,3.51,"1,657.37",1.75,"1,666.13",50.13%
K062 (STOCKING WAVE-CAP (2 PC) : WHITE (DZ/60 DZ)),181.00,633.50,0.0%,3.50,316.75,1.75,316.75,50.0%
K063 (STOCKING WAVE-CAP (2 PC) : RED (DZ/60 DZ)),82.00,287.00,0.0%,3.50,143.50,1.75,143.50,50.0%
K064 (STOCKING WAVE-CAP (2 PC) : NAVY (DZ/60 DZ)),13.00,45.50,0.0%,3.50,22.75,1.75,22.75,50.0%
K065 (STOCKING WAVE-CAP (2 PC) : ROYAL (DZ/60 DZ)),60.00,210.00,0.0%,3.50,105.00,1.75,105.00,50.0%
K066 (STOCKING WAVE-CAP (2 PC) : SKY BL (DZ/60 DZ)),7.00,24.50,0.0%,3.50,12.25,1.75,12.25,50.0%
K067 (STOCKING WAVE-CAP (2 PC) : GRAY (DZ/60 DZ)),7.00,24.50,0.0%,3.50,12.20,1.74,12.30,50.2%
K068 (STOCKING WAVE-CAP (2 PC) : BROWN (DZ/60 DZ)),73.00,255.50,0.0%,3.50,127.65,1.75,127.85,50.04%
K070 (SPANDEX DOME-CAP : ASSORTED (DZ/48 DZ)),140.00,"1,260.00",0.0%,9.00,546.00,3.90,714.00,56.67%
K071 (SPANDEX DOME-CAP : BLACK (DZ/48 DZ)),470.00,"4,242.00",0.0%,9.03,"1,858.10",3.95,"2,383.90",56.2%
K072 (SPANDEX DOME-CAP : WHITE (DZ/48 DZ)),0.00,0.00,0.0%,0.00,0.00,0.00,0.00,0.0%
K075 (SPANDEX SKULL-CAP : ASSORTED (DZ/48 DZ)),50.00,425.00,0.0%,8.50,160.76,3.22,264.24,62.17%
K076 (SPANDEX SKULL-CAP : BLACK (DZ/48 DZ)),148.00,"1,258.00",0.0%,8.50,469.14,3.17,788.86,62.71%
K077 (SPANDEX SKULL-CAP : WHITE (DZ/48 DZ)),0.00,0.00,0.0%,0.00,0.00,0.00,0.00,0.0%
K080 (TIE-DOWN WAVE-CAP : ASSORT (DZ/48 DZ)),6.00,21.00,0.0%,3.50,0.00,0.00,21.00,100.0%
K081 (TIE-DOWN WAVE-CAP : BLACK (DZ/48 DZ)),22.00,78.50,0.0%,3.57,0.00,0.00,78.50,100.0%
K082 (TIE-DOWN WAVE-CAP : WHITE (DZ/48 DZ)),0.00,0.00,0.0%,0.00,0.00,0.00,0.00,0.0%
