MainCode,Description,Color,Size,Unit,OnHand,Price1,Bin#,MainCode2,Price2,Price3,Price4,Price5
W1101,SPRING WIG CLIP (5PCS BLISTER),N/A,R,DZ,494,$4.50 ,L9,,$6.00 ,$8.00 ,$0.00 ,$0.00 
W1102,SPRING WIG CLIP W/ LACE (3PCS BLISTER),N/A,R,DZ,1670,$4.50 ,L9,,$6.00 ,$8.00 ,$0.00 ,$0.00 
W1103,SPRING WIG CLIP (20PCS BLISTER),N/A,R,DZ,164,$12.50 ,L9,,$16.50 ,$24.00 ,$0.00 ,$0.00 
W1104,SPRING WIG CLIP W/ LACE (12PCS BLISTER),N/A,R,DZ,148,$12.50 ,L9,,$16.50 ,$24.00 ,$0.00 ,$0.00 
W1105,SPRING WIG CLIP (150PCS BLISTER),N/A,R,PK,0,$7.50 ,L9,,$10.00 ,$15.00 ,$0.00 ,$0.00 
W1106,SPRING WIG CLIP W/ LACE (90PCS BLISTER),N/A,R,PK,-2,$7.50 ,L9,,$10.00 ,$15.00 ,$0.00 ,$0.00 
W1107,SPRING WIG CLIP W/ LACE (36PCS BLISTER),N/A,R,DZ,310,$36.00 ,L8,,$48.00 ,$72.00 ,$0.00 ,$0.00 
W1111,ANCHOR WIG CLIP (2PC) : S,N/A,S ,DZ,57,$4.50 ,L9,,$6.00 ,$8.00 ,$0.00 ,$0.00 
W1112,ANCHOR WIG CLIP (2PC) : L,N/A,L ,DZ,351,$4.50 ,L9,,$6.00 ,$8.00 ,$0.00 ,$0.00 
W1113,ANCHOR WIG CLIP (12PC) : S,N/A,S ,DZ,93,$24.00 ,L8,,$30.00 ,$40.00 ,$0.00 ,$0.00 
W1114,ANCHOR WIG CLIP (12PC) : L,N/A,L ,DZ,-2,$24.00 ,L8,,$30.00 ,$40.00 ,$0.00 ,$0.00 
W1119,CROCHET NEEDLE  30PCS BULK,N/A,COMBO,PK,589,$9.00 ,L2,,$12.00 ,$18.00 ,$0.00 ,$0.00 
W1120,CROCHET NEEDLE 24PCS COMBO,N/A,#1,PK,962,$6.50 ,L9,,$9.00 ,$12.00 ,$0.00 ,$0.00 
W1121,CROCHET NEEDLE SIZE #3,N/A,#3,DZ,658,$4.50 ,L2,,$6.00 ,$9.00 ,$0.00 ,$0.00 
