,"Type","Date","Due Date","Num","Name","Qty","Invoiced","Backordered","Amount","Open Balance"
"Inventory",,,,,,,,,,
"E1083 (ADHESIVE-STRIP LASH/CLEAR (7G))",,,,,,,,,,
,"Sales Order","08/27/2018","08/27/2018","A30274","HAIR CROWN BEAUTY SUPPLY",3,2,1,12.00,4.00
,"Sales Order","08/27/2018","09/26/2018","A30279","US IMPORT",6,0,6,24.00,24.00
,"Sales Order","08/29/2018","10/28/2018","A30286","YOUNG'S TRADING (GA)",24,0,24,96.00,96.00
,"Sales Order","10/01/2018","10/31/2018","A30426","7 DOLLAR BEAUTY SUPPLY",96,0,96,384.00,384.00
,"Sales Order","10/04/2018","12/03/2018","A30437","PKNY INTERNATIONAL INC.",72,0,72,288.00,288.00
,"Sales Order","10/09/2018","11/08/2018","A30462","GRACE WORLD",48,0,48,192.00,192.00
,"Sales Order","10/29/2018","11/28/2018","A30551","US IMPORT",6,0,6,24.00,24.00
,"Sales Order","05/06/2019","07/05/2019","A31659","ALICIA INTERNATIONAL, INC.",20,0,20,80.00,80.00
,"Sales Order","05/20/2020","06/04/2020","A33649","BYESSENCE BEAUTY(J&D ENT.)",1,0,1,4.50,4.50
,"Sales Order","06/29/2020","07/29/2020","A33900","KINGS BEAUTY SUPPLY (MAULDIN SC)",1,0,1,6.00,6.00
"Total K002 (DU-RAG : WHITE (DZ/48 DZ))",,,,,,397,2,395,1590.50,1582.50
"K003 (DU-RAG : RED (DZ/48 DZ))",,,,,,,,,,
,"Sales Order","05/11/2018","06/10/2018","A29760","7 DOLLAR BEAUTY SUPPLY",24,6,18,96.00,72.00
,"Sales Order","05/15/2018","06/14/2018","A29783","US IMPORT",6,0,6,24.00,24.00
,"Sales Order","05/21/2018","05/21/2018","A29808","HAIR CROWN BEAUTY SUPPLY",3,0,3,12.00,12.00
,"Sales Order","05/21/2018","06/20/2018","A29810","TEN TEN US TRADING, CORP.",6,0,6,24.00,24.00
,"Sales Order","05/22/2018","06/21/2018","A29829","US IMPORT",6,0,6,24.00,24.00
,"Sales Order","05/24/2018","06/23/2018","A29854","DASO TRADING INC.",12,0,12,48.00,48.00
,"Sales Order","05/29/2018","07/28/2018","A29863","WURI, INC.",3,0,3,12.00,12.00
,"Sales Order","05/30/2018","06/29/2018","A29869","A-1 TRADING, INC. (GA)",6,0,6,24.00,24.00
,"Sales Order","05/30/2018","06/29/2018","A29872","US IMPORT",6,0,6,24.00,24.00
,"Sales Order","06/04/2018","08/03/2018","A29876","WURI, INC.",6,0,6,24.00,24.00
,"Sales Order","06/04/2018","07/04/2018","A29880","US IMPORT",6,0,6,24.00,24.00
,"Sales Order","06/22/2018","06/22/2018","A29982","HAIR CROWN BEAUTY SUPPLY",3,0,3,12.00,12.00
,"Sales Order","06/27/2018","07/27/2018","A30000","EVERGREEN BEAUTY",1,0,1,5.50,5.50
,"Sales Order","06/27/2018","07/27/2018","A30003","A-1 TRADING, INC. (GA)",6,0,6,24.00,24.00
