,"Type","Date","Due Date","Num","Name","Qty","Invoiced","Backordered","Amount","Open Balance"
"Inventory",,,,,,,,,,
"E1083 (ADHESIVE-STRIP LASH/CLEAR (7G))",,,,,,,,,,
,"Sales Order","09/04/2018","10/04/2018","A30301","FASHION POINT(10/21/19 close notice)",6,0,6,99.00,99.00
,"Sales Order","03/04/2019","05/03/2019","A31284","WURI, INC.",6,0,6,99.00,99.00
,"Sales Order","05/06/2019","07/05/2019","A31659","ALICIA INTERNATIONAL, INC.",4,0,4,66.00,66.00
,"Sales Order","06/04/2019","07/04/2019","A31821","PRIME CK",3,0,3,49.50,49.50
,"Sales Order","05/21/2020","06/05/2020","A33663","BEAUTY MART 1 (BEAUTY STORE)",1,0,1,24.00,24.00
,"Sales Order","06/29/2020","07/29/2020","A33891","PRIME CK",6,0,6,99.00,99.00
,"Sales Order","06/29/2020","06/29/2020","A33898","D&G TRADING",6,0,6,99.00,99.00
,"Sales Order","06/29/2020","08/28/2020","A33899","P&J TRADING (MD)",6,0,6,99.00,99.00
"Total K703 (SPAN DREADLOCKS CAP : ASSORT (DZ/24 DZ))",,,,,,99,14,85,1648.50,1417.50
"K704 (SPAN DREADLOCKS CAP : BLACK (DZ/24 DZ))",,,,,,,,,,
,"Sales Order","11/07/2018","12/07/2018","A30601","BESCO (GA)",6,0,6,99.00,99.00
,"Sales Order","02/18/2019","03/05/2019","A31197","BYESSENCE BEAUTY(J&D ENT.)",1,0,1,16.50,16.50
,"Sales Order","05/06/2019","07/05/2019","A31659","ALICIA INTERNATIONAL, INC.",8,0,8,132.00,132.00
,"Sales Order","06/04/2019","07/04/2019","A31821","PRIME CK",3,0,3,49.50,49.50
,"Sales Order","08/22/2019","09/21/2019","A32201","EXPO TRADING",6,0,6,99.00,99.00
,"Sales Order","10/01/2019","10/16/2019","A32422","BEAUTY CASTLE",24,0,24,396.00,396.00
,"Sales Order","02/12/2020","03/13/2020","A33081","WAKE BEAUTY",1,0,1,16.50,16.50
,"Sales Order","02/13/2020","03/14/2020","A33086","A-1 TRADING, INC. (GA)",6,0,6,99.00,99.00
,"Sales Order","05/19/2020","06/18/2020","A33647","BESCO (GA)",6,0,6,99.00,99.00
,"Sales Order","05/21/2020","06/05/2020","A33663","BEAUTY MART 1 (BEAUTY STORE)",1,0,1,24.00,24.00
,"Sales Order","06/22/2020","07/22/2020","A33855","BEN'S (MD) BEAUTY SUPPLY DISTRIBUTOR INC.",8,0,8,132.00,132.00
,"Sales Order","06/23/2020","07/23/2020","A33872","BESCO (GA)",12,0,12,198.00,198.00
,"Sales Order","06/24/2020","08/23/2020","A33873","YOUNG'S TRADING (GA)",6,0,6,99.00,99.00
,"Sales Order","06/24/2020","07/24/2020","A33877","A-1 TRADING, INC. (GA)",6,1,5,99.00,82.50
,"Sales Order","06/29/2020","07/29/2020","A33891","PRIME CK",12,0,12,198.00,198.00
,"Sales Order","06/29/2020","06/29/2020","A33898","D&G TRADING",6,0,6,99.00,99.00
,"Sales Order","06/29/2020","08/28/2020","A33899","P&J TRADING (MD)",24,0,24,396.00,396.00
"Total K704 (SPAN DREADLOCKS CAP : BLACK (DZ/24 DZ))",,,,,,136,1,135,2251.50,2235.00
"K705 (SPAN DREADLOCKS CAP (XL) : ASSORT (DZ/24 DZ))",,,,,,,,,,
,"Sales Order","06/13/2018","08/12/2018","A29926","CORNER BEAUTY SUPPLY",1,0,1,30.00,30.00
,"Sales Order","06/13/2018","07/13/2018","A29928","A-1 TRADING, INC. (GA)",6,0,6,126.00,126.00
,"Sales Order","06/14/2018","08/13/2018","A29935","P&J TRADING (MD)",3,0,3,63.00,63.00
,"Sales Order","06/15/2018","06/30/2018","A29937","BEAUTY INFINITY MART (GA)",1,0,1,30.00,30.00
,"Sales Order","06/15/2018","08/14/2018","A29946","WURI, INC.",12,0,12,252.00,252.00
,"Sales Order","06/18/2018","06/18/2018","A29953","JAJ BEAUTY SUPPLY",1,0,1,30.00,30.00
,"Sales Order","06/19/2018","07/04/2018","A29962","HANA UNIVERSAL TRADING",6,0,6,126.00,126.00
,"Sales Order","06/20/2018","07/20/2018","A29963","A-1 TRADING, INC. (GA)",6,0,6,126.00,126.00
,"Sales Order","06/20/2018","08/19/2018","A29965","YOUNG'S TRADING (GA)",6,0,6,126.00,126.00
,"Sales Order","06/20/2018","08/19/2018","A29967","P&J TRADING (MD)",9,0,9,189.00,189.00
,"Sales Order","06/20/2018","08/19/2018","A29968","WURI, INC.",12,0,12,252.00,252.00
,"Sales Order","06/25/2018","08/24/2018","A29986","SUN 3 TRADING LLC.",3,0,3,63.00,63.00
,"Sales Order","06/26/2018","08/25/2018","A29992","ALICIA INTERNATIONAL, INC.",6,0,6,126.00,126.00
,"Sales Order","06/27/2018","07/12/2018","A30001","YOUNG'S BEAUTY SUPPLY (VA)",2,0,2,60.00,60.00
,"Sales Order","06/27/2018","07/27/2018","A30003","A-1 TRADING, INC. (GA)",6,0,6,126.00,126.00
,"Sales Order","06/28/2018","07/28/2018","A30004","DASO TRADING INC.",6,0,6,126.00,126.00
,"Sales Order","06/28/2018","07/28/2018","A30005","C&L TRADING OF MIAMI",24,0,24,504.00,504.00
,"Sales Order","06/28/2018","08/27/2018","A30007","P&J TRADING (MD)",6,0,6,126.00,126.00
,"Sales Order","06/28/2018","08/27/2018","A30008","YOUNG'S TRADING (GA)",12,0,12,252.00,252.00
,"Sales Order","06/29/2018","08/28/2018","A30012","WURI, INC.",12,0,12,252.00,252.00
,"Sales Order","06/29/2018","08/28/2018","A30011","MISSION TRADING",6,0,6,126.00,126.00
,"Sales Order","06/29/2018","06/29/2018","A30016","CLORE CANADA INC.",2,0,2,42.00,42.00
,"Sales Order","07/17/2018","08/01/2018","A30093","2J GROUP, INC.",3,0,3,63.00,63.00
,"Sales Order","08/30/2018","09/29/2018","A30292","HAIR DEPOT PLUS(WARREN)",12,0,12,252.00,252.00
,"Sales Order","09/10/2018","10/10/2018","A30332","US TRADING (NC)",6,0,6,126.00,126.00
,"Sales Order","10/26/2018","10/26/2018","A30547","P&J TRADING (MI)",72,24,48,1512.00,1008.00
,"Sales Order","10/29/2018","12/28/2018","A30550","WURI, INC.",6,0,6,126.00,126.00
,"Sales Order","11/01/2018","12/01/2018","A30569","PRIME CK",3,0,3,63.00,63.00
,"Sales Order","11/05/2018","01/04/2019","A30582","WURI, INC.",12,0,12,252.00,252.00
,"Sales Order","11/05/2018","11/05/2018","A30587","UNI FASHION TRADING",12,0,12,252.00,252.00
,"Sales Order","11/07/2018","01/06/2019","A30596","YOUNG'S TRADING (GA)",4,0,4,84.00,84.00
,"Sales Order","11/07/2018","12/07/2018","A30598","D&G TRADING",6,0,6,126.00,126.00
,"Sales Order","11/09/2018","01/08/2019","A30605","P&J TRADING (MD)",6,0,6,126.00,126.00
,"Sales Order","11/09/2018","11/09/2018","A30606","EBS IMPORT&WHOLESALE (GA)",1,0,1,21.00,21.00
,"Sales Order","02/18/2019","03/05/2019","A31197","BYESSENCE BEAUTY(J&D ENT.)",1,0,1,21.00,21.00
,"Sales Order","05/06/2019","07/05/2019","A31659","ALICIA INTERNATIONAL, INC.",8,0,8,168.00,168.00
,"Sales Order","05/21/2020","06/05/2020","A33663","BEAUTY MART 1 (BEAUTY STORE)",1,0,1,30.00,30.00
,"Sales Order","05/28/2020","06/27/2020","A33710","GLOBAL BEAUTY CORP.",4,0,4,84.00,84.00
,"Sales Order","05/29/2020","06/28/2020","A33718","DASO TRADING INC.",12,6,6,252.00,126.00
,"Sales Order","05/29/2020","07/28/2020","A33720","P&J TRADING (MD)",6,0,6,126.00,126.00
,"Sales Order","05/29/2020","06/28/2020","A33721","MISSION TRADING",4,0,4,84.00,84.00
,"Sales Order","05/29/2020","07/28/2020","A33724","WURI, INC.",9,0,9,189.00,189.00
,"Sales Order","06/01/2020","07/31/2020","A33730","SUN 3 TRADING LLC.",3,0,3,63.00,63.00
,"Sales Order","06/01/2020","07/31/2020","A33735","CY LADY (GA)",4,0,4,84.00,84.00
,"Sales Order","06/03/2020","06/03/2020","A33745","EBS IMPORT&WHOLESALE (GA)",1,0,1,21.00,21.00
,"Sales Order","06/03/2020","08/02/2020","A33746","ALICIA INTERNATIONAL, INC.",4,0,4,84.00,84.00
,"Sales Order","06/04/2020","07/04/2020","A33749","HAIR BOSS (COLUMBIA, SC)",1,0,1,21.00,21.00
,"Sales Order","06/04/2020","08/03/2020","A33752","SUN 3 TRADING LLC.",6,0,6,126.00,126.00
,"Sales Order","06/05/2020","08/04/2020","A33761","WURI, INC.",24,0,24,504.00,504.00
,"Sales Order","06/08/2020","08/07/2020","A33764","P&J TRADING (MD)",6,0,6,126.00,126.00
,"Sales Order","06/08/2020","07/08/2020","A33766","C&L TRADING OF MIAMI",24,0,24,504.00,504.00
,"Sales Order","06/08/2020","07/08/2020","A33767","TEN TEN US TRADING, CORP.",6,0,6,126.00,126.00
,"Sales Order","06/08/2020","07/08/2020","A33769","EMPRESS BEAUTY DISTRIBUTORS",12,0,12,252.00,252.00
,"Sales Order","06/08/2020","06/08/2020","A33770","EBS IMPORT&WHOLESALE (GA)",1,0,1,21.00,21.00
,"Sales Order","06/10/2020","07/10/2020","A33778","EVERGREEN BEAUTY",1,0,1,30.00,30.00
,"Sales Order","06/10/2020","07/10/2020","A33784","DASO TRADING INC.",12,0,12,252.00,252.00
,"Sales Order","06/11/2020","06/11/2020","A33794","HAIR CROWN BEAUTY SUPPLY",4,0,4,84.00,84.00
,"Sales Order","06/12/2020","08/11/2020","A33806","ALICIA INTERNATIONAL, INC.",8,0,8,168.00,168.00
,"Sales Order","06/16/2020","06/16/2020","A33826","POPULAR PRODUCTS, INC.",8,5,3,168.00,63.00
,"Sales Order","06/29/2020","07/29/2020","A33891","PRIME CK",9,0,9,189.00,189.00
,"Sales Order","06/29/2020","08/28/2020","A33894","WURI, INC.",24,12,12,504.00,252.00
,"Sales Order","06/29/2020","07/29/2020","A33897","C&L TRADING OF MIAMI",24,0,24,504.00,504.00
,"Sales Order","06/29/2020","06/29/2020","A33898","D&G TRADING",6,0,6,126.00,126.00
,"Sales Order","06/29/2020","08/28/2020","A33899","P&J TRADING (MD)",10,0,10,210.00,210.00
"Total K705 (SPAN DREADLOCKS CAP (XL) : ASSORT (DZ/24 DZ))",,,,,,534,47,487,11277.00,10290.00
"K706 (SPAN DREADLOCKS CAP (XL) : BLACK (DZ/24 DZ))",,,,,,,,,,
,"Sales Order","07/17/2018","08/01/2018","A30093","2J GROUP, INC.",3,0,3,63.00,63.00
,"Sales Order","08/30/2018","09/29/2018","A30292","HAIR DEPOT PLUS(WARREN)",12,0,12,252.00,252.00
,"Sales Order","02/18/2019","03/05/2019","A31197","BYESSENCE BEAUTY(J&D ENT.)",1,0,1,21.00,21.00
,"Sales Order","03/04/2019","05/03/2019","A31284","WURI, INC.",12,0,12,252.00,252.00
,"Sales Order","05/06/2019","07/05/2019","A31659","ALICIA INTERNATIONAL, INC.",4,0,4,84.00,84.00
,"Sales Order","07/02/2019","08/01/2019","A31971","BEN'S (MD) BEAUTY SUPPLY DISTRIBUTOR INC.",5,0,5,105.00,105.00
,"Sales Order","07/09/2019","07/24/2019","A31998","SUPER BEAUTY WORLD",2,0,2,42.00,42.00
,"Sales Order","08/22/2019","09/21/2019","A32201","EXPO TRADING",6,0,6,126.00,126.00
,"Sales Order","10/01/2019","10/16/2019","A32422","BEAUTY CASTLE",24,0,24,504.00,504.00
,"Sales Order","05/13/2020","05/13/2020","A33602","HAIR CROWN BEAUTY SUPPLY",244,240,4,5124.00,84.00
,"Sales Order","05/19/2020","07/18/2020","A33645","WURI, INC.",24,0,24,504.00,504.00
,"Sales Order","05/19/2020","05/19/2020","A33646","EBS IMPORT&WHOLESALE (GA)",2,1,1,42.00,21.00
,"Sales Order","05/20/2020","06/04/2020","A33649","BYESSENCE BEAUTY(J&D ENT.)",1,0,1,21.00,21.00
,"Sales Order","05/20/2020","06/04/2020","A33654","BYESSENCE BEAUTY(J&D ENT.)",3,0,3,63.00,63.00
,"Sales Order","05/21/2020","06/20/2020","A33661","NOAH INTERNATIONAL CO.",6,0,6,126.00,126.00
,"Sales Order","05/21/2020","06/05/2020","A33662","BEAUTY MART 1 (BEAUTY STORE)",1,0,1,30.00,30.00
,"Sales Order","05/21/2020","06/05/2020","A33663","BEAUTY MART 1 (BEAUTY STORE)",1,0,1,30.00,30.00
,"Sales Order","05/21/2020","06/20/2020","A33666","7 DOLLAR BEAUTY SUPPLY",24,0,24,504.00,504.00
,"Sales Order","05/21/2020","06/20/2020","A33672","BEAUTY WORLD (HENDERSON,NC)",1,0,1,21.00,21.00
,"Sales Order","05/21/2020","06/20/2020","A33673","C&L TRADING OF MIAMI",24,0,24,504.00,504.00
,"Sales Order","05/22/2020","05/22/2020","A33677","D&G TRADING",6,0,6,126.00,126.00
,"Sales Order","05/22/2020","06/06/2020","A33680","JOAH INTERNATIONAL, INC.",24,0,24,504.00,504.00
,"Sales Order","05/22/2020","07/21/2020","A33681","2J GROUP, INC.",6,0,6,126.00,126.00
,"Sales Order","05/26/2020","05/26/2020","A33688","MAMMOTH BEAUTY, INC.#2",1,0,1,30.00,30.00
,"Sales Order","05/26/2020","06/25/2020","A33692","BEAUTY WORLD (DUNN)",1,0,1,30.00,30.00
,"Sales Order","05/26/2020","05/26/2020","A33693","JAJ BEAUTY SUPPLY",10,0,10,300.00,300.00
,"Sales Order","05/27/2020","06/26/2020","A33700","A-1 TRADING, INC. (GA)",6,0,6,126.00,126.00
,"Sales Order","05/27/2020","06/11/2020","A33703","BEAUTY MART 1 (BEAUTY STORE)",1,0,1,30.00,30.00
,"Sales Order","05/27/2020","07/26/2020","A33704","YOUNG'S TRADING (GA)",24,0,24,504.00,504.00
,"Sales Order","05/27/2020","06/26/2020","A33706","US IMPORT",3,0,3,63.00,63.00
,"Sales Order","05/27/2020","06/11/2020","A33707","BEAUTY MART 1 (BEAUTY STORE)",2,0,2,60.00,60.00
,"Sales Order","05/28/2020","06/27/2020","A33709","K PLUS",12,0,12,252.00,252.00
,"Sales Order","05/28/2020","06/27/2020","A33710","GLOBAL BEAUTY CORP.",11,0,11,231.00,231.00
,"Sales Order","05/28/2020","06/27/2020","A33713","DT TRADING",6,0,6,126.00,126.00
,"Sales Order","05/29/2020","06/28/2020","A33718","DASO TRADING INC.",24,0,24,504.00,504.00
,"Sales Order","05/29/2020","07/28/2020","A33720","P&J TRADING (MD)",12,0,12,252.00,252.00
,"Sales Order","05/29/2020","06/28/2020","A33721","MISSION TRADING",4,0,4,84.00,84.00
,"Sales Order","06/01/2020","07/31/2020","A33730","SUN 3 TRADING LLC.",9,0,9,189.00,189.00
,"Sales Order","06/01/2020","07/01/2020","A33733","BEN'S (MD) BEAUTY SUPPLY DISTRIBUTOR INC.",6,0,6,126.00,126.00
,"Sales Order","06/01/2020","07/31/2020","A33735","CY LADY (GA)",4,0,4,84.00,84.00
,"Sales Order","06/02/2020","07/02/2020","A33739","HAIR DEPOT PLUS(COLUMBUS)",2,0,2,42.00,42.00
,"Sales Order","06/02/2020","08/01/2020","A33740","YOUNG'S TRADING (GA)",48,0,48,1008.00,1008.00
,"Sales Order","06/03/2020","07/03/2020","A33741","A-1 TRADING, INC. (GA)",12,0,12,252.00,252.00
,"Sales Order","06/03/2020","07/03/2020","A33744","A.S.K. BEAUTY",24,0,24,504.00,504.00
,"Sales Order","06/03/2020","06/03/2020","A33745","EBS IMPORT&WHOLESALE (GA)",1,0,1,21.00,21.00
,"Sales Order","06/03/2020","08/02/2020","A33746","ALICIA INTERNATIONAL, INC.",4,0,4,84.00,84.00
,"Sales Order","06/04/2020","08/03/2020","A33752","SUN 3 TRADING LLC.",12,0,12,252.00,252.00
,"Sales Order","06/04/2020","07/04/2020","A33753","US IMPORT",12,0,12,252.00,252.00
,"Sales Order","06/05/2020","08/04/2020","A33758","CY LADY (GA)",2,0,2,42.00,42.00
,"Sales Order","06/05/2020","08/04/2020","A33761","WURI, INC.",24,0,24,504.00,504.00
,"Sales Order","06/08/2020","08/07/2020","A33764","P&J TRADING (MD)",20,0,20,420.00,420.00
,"Sales Order","06/08/2020","07/08/2020","A33766","C&L TRADING OF MIAMI",72,0,72,1512.00,1512.00
,"Sales Order","06/08/2020","07/08/2020","A33768","7 DOLLAR BEAUTY SUPPLY",24,0,24,504.00,504.00
,"Sales Order","06/08/2020","07/08/2020","A33769","EMPRESS BEAUTY DISTRIBUTORS",12,0,12,252.00,252.00
,"Sales Order","06/08/2020","06/08/2020","A33770","EBS IMPORT&WHOLESALE (GA)",2,0,2,42.00,42.00
,"Sales Order","06/09/2020","06/09/2020","A33771","D&G TRADING",6,0,6,126.00,126.00
,"Sales Order","06/09/2020","08/08/2020","A33773","2J GROUP, INC.",12,0,12,252.00,252.00
,"Sales Order","06/09/2020","06/09/2020","A33774","WORLD BEAUTY MART",1,0,1,30.00,30.00
,"Sales Order","06/10/2020","08/09/2020","A33776","YOUNG'S TRADING (GA)",120,0,120,2520.00,2520.00
,"Sales Order","06/10/2020","07/10/2020","A33777","A-1 TRADING, INC. (GA)",12,0,12,252.00,252.00
,"Sales Order","06/10/2020","07/10/2020","A33780","US IMPORT",12,0,12,252.00,252.00
,"Sales Order","06/10/2020","07/10/2020","A33784","DASO TRADING INC.",24,0,24,504.00,504.00
,"Sales Order","06/11/2020","07/11/2020","A33785","EXPO TRADING",6,0,6,126.00,126.00
,"Sales Order","06/11/2020","07/11/2020","A33788","NOAH INTERNATIONAL CO.",12,0,12,252.00,252.00
,"Sales Order","06/11/2020","06/11/2020","A33794","HAIR CROWN BEAUTY SUPPLY",4,0,4,84.00,84.00
,"Sales Order","06/12/2020","08/11/2020","A33806","ALICIA INTERNATIONAL, INC.",8,0,8,168.00,168.00
,"Sales Order","06/22/2020","07/22/2020","A33855","BEN'S (MD) BEAUTY SUPPLY DISTRIBUTOR INC.",12,0,12,252.00,252.00
,"Sales Order","06/22/2020","07/22/2020","A33858","DASO TRADING INC.",24,0,24,504.00,504.00
,"Sales Order","06/22/2020","08/21/2020","A33860","P&J TRADING (MD)",12,0,12,252.00,252.00
,"Sales Order","06/22/2020","07/22/2020","A33863","HAIR DEPOT PLUS(COLUMBUS)",2,0,2,42.00,42.00
,"Sales Order","06/22/2020","06/22/2020","A33864","I BEAUTY(NC13) CROSS LINK",2,0,2,60.00,60.00
,"Sales Order","06/22/2020","07/22/2020","A33866","LEE BEAUTY SUPPLY",1,0,1,30.00,30.00
,"Sales Order","06/22/2020","06/22/2020","A33868","EBS IMPORT&WHOLESALE (GA)",6,3,3,126.00,63.00
,"Sales Order","06/23/2020","07/23/2020","A33869","GLOBAL BEAUTY CORP.",13,0,13,273.00,273.00
,"Sales Order","06/23/2020","07/23/2020","A33871","MISSION TRADING",8,0,8,168.00,168.00
,"Sales Order","06/23/2020","07/23/2020","A33872","BESCO (GA)",12,0,12,252.00,252.00
,"Sales Order","06/24/2020","07/24/2020","A33875","US IMPORT",12,0,12,252.00,252.00
,"Sales Order","06/24/2020","07/24/2020","A33877","A-1 TRADING, INC. (GA)",6,0,6,126.00,126.00
,"Sales Order","06/25/2020","08/24/2020","A33883","ALICIA INTERNATIONAL, INC.",8,0,8,168.00,168.00
,"Sales Order","06/25/2020","07/25/2020","A33884","NOAH INTERNATIONAL CO.",12,0,12,252.00,252.00
,"Sales Order","06/26/2020","06/26/2020","A33890","EBS IMPORT&WHOLESALE (GA)",6,0,6,126.00,126.00
,"Sales Order","06/29/2020","08/28/2020","A33894","WURI, INC.",24,0,24,504.00,504.00
,"Sales Order","06/29/2020","07/29/2020","A33897","C&L TRADING OF MIAMI",36,0,36,756.00,756.00
,"Sales Order","06/29/2020","06/29/2020","A33898","D&G TRADING",6,0,6,126.00,126.00
,"Sales Order","06/29/2020","08/28/2020","A33899","P&J TRADING (MD)",24,0,24,504.00,504.00
,"Sales Order","06/29/2020","07/29/2020","A33901","BEAUTY MARK (TUSCALOOSA, AL)",1,0,1,30.00,30.00
"Total K706 (SPAN DREADLOCKS CAP (XL) : BLACK (DZ/24 DZ))",,,,,,1287,244,1043,27225.00,22101.00
"K707 (SPAN DREADLOCKS BAND : ASSORT (DZ/24 DZ))",,,,,,,,,,
,"Sales Order","08/07/2018","10/06/2018","A30168","ALICIA INTERNATIONAL, INC.",12,0,12,102.00,102.00
,"Sales Order","08/30/2018","09/29/2018","A30292","HAIR DEPOT PLUS(WARREN)",12,0,12,102.00,102.00
,"Sales Order","10/24/2018","11/23/2018","A30540","7 DOLLAR BEAUTY SUPPLY",24,0,24,204.00,204.00
,"Sales Order","12/17/2018","01/01/2019","A30816","BEAUTY SQUAD",2,0,2,24.00,24.00
,"Sales Order","01/18/2019","01/18/2019","A31004","EBS IMPORT&WHOLESALE (GA)",1,0,1,8.50,8.50
,"Sales Order","01/21/2019","02/05/2019","A31005","BEAUTY MART 1 (BEAUTY STORE)",1,0,1,12.00,12.00
,"Sales Order","01/21/2019","01/21/2019","A31019","I BEAUTY(NC13) CROSS LINK",1,0,1,12.00,12.00
,"Sales Order","01/23/2019","02/22/2019","A31029","C&L TRADING OF MIAMI",24,0,24,204.00,204.00
,"Sales Order","01/24/2019","02/23/2019","A31034","UNION SALES, INC.",24,0,24,204.00,204.00
,"Sales Order","01/24/2019","02/23/2019","A31042","C&L TRADING OF MIAMI",12,0,12,102.00,102.00
,"Sales Order","01/25/2019","02/24/2019","A31046","KINGS BEAUTY SUPPLY (MAULDIN SC)",1,0,1,12.00,12.00
,"Sales Order","01/28/2019","03/29/2019","A31055","P&J TRADING (MD)",6,0,6,51.00,51.00
,"Sales Order","01/28/2019","03/29/2019","A31056","SUN 3 TRADING LLC.",6,0,6,51.00,51.00
,"Sales Order","01/28/2019","01/28/2019","A31065","LATONYA TALIFERRO",1,0,1,18.00,18.00
,"Sales Order","01/30/2019","01/30/2019","A31101","CLORE CANADA INC.",1,0,1,8.50,8.50
,"Sales Order","01/31/2019","03/02/2019","A31086","UNION SALES, INC.",24,0,24,204.00,204.00
,"Sales Order","01/31/2019","03/02/2019","A31088","FASHION POINT(10/21/19 close notice)",6,0,6,51.00,51.00
,"Sales Order","01/31/2019","03/02/2019","A31090","C&L TRADING OF MIAMI",24,0,24,204.00,204.00
,"Sales Order","02/04/2019","04/05/2019","A31113","SUN 3 TRADING LLC.",3,0,3,25.50,25.50
,"Sales Order","02/04/2019","02/19/2019","A31120","BEAUTY SQUAD",2,0,2,24.00,24.00
,"Sales Order","02/18/2019","03/05/2019","A31197","BYESSENCE BEAUTY(J&D ENT.)",1,0,1,8.50,8.50
,"Sales Order","05/06/2019","07/05/2019","A31659","ALICIA INTERNATIONAL, INC.",4,0,4,34.00,34.00
,"Sales Order","06/04/2019","07/04/2019","A31821","PRIME CK",2,0,2,17.00,17.00
,"Sales Order","05/21/2020","06/05/2020","A33663","BEAUTY MART 1 (BEAUTY STORE)",1,0,1,12.00,12.00
,"Sales Order","06/29/2020","06/29/2020","A33898","D&G TRADING",6,0,6,51.00,51.00
,"Sales Order","06/29/2020","07/29/2020","A33901","BEAUTY MARK (TUSCALOOSA, AL)",2,0,2,24.00,24.00
"Total K707 (SPAN DREADLOCKS BAND : ASSORT (DZ/24 DZ))",,,,,,203,0,203,1770.00,1770.00
"K708 (SPAN DREADLOCKS BAND : BLACK (DZ/24 DZ))",,,,,,,,,,
,"Sales Order","07/17/2018","08/01/2018","A30093","2J GROUP, INC.",3,0,3,25.50,25.50
,"Sales Order","08/06/2018","09/05/2018","A30151","HAIR DEPOT PLUS(WARREN)",2,1,1,17.00,8.50
,"Sales Order","08/06/2018","09/05/2018","A30154","KINGS BEAUTY SUPPLY (MAULDIN SC)",1,0,1,12.00,12.00
,"Sales Order","08/06/2018","09/05/2018","A30158","KINGS BEAUTY SUPPLY (MAULDIN SC)",2,0,2,24.00,24.00
,"Sales Order","08/06/2018","09/05/2018","A30159","BESCO (GA)",10,0,10,85.00,85.00
,"Sales Order","08/06/2018","10/05/2018","A30160","WURI, INC.",6,0,6,51.00,51.00
,"Sales Order","08/06/2018","10/05/2018","A30161","SUN 3 TRADING LLC.",6,0,6,51.00,51.00
,"Sales Order","08/07/2018","10/06/2018","A30168","ALICIA INTERNATIONAL, INC.",4,0,4,34.00,34.00
,"Sales Order","08/07/2018","09/06/2018","A30174","SMILEY'S BEAUTY SUPPLY",1,0,1,12.00,12.00
,"Sales Order","08/08/2018","08/23/2018","A30181","BEAUTY MART 1 (BEAUTY STORE)",2,0,2,24.00,24.00
,"Sales Order","02/18/2019","03/05/2019","A31197","BYESSENCE BEAUTY(J&D ENT.)",1,0,1,8.50,8.50
,"Sales Order","03/04/2019","05/03/2019","A31284","WURI, INC.",6,0,6,51.00,51.00
,"Sales Order","05/06/2019","07/05/2019","A31659","ALICIA INTERNATIONAL, INC.",8,0,8,68.00,68.00
,"Sales Order","06/04/2019","07/04/2019","A31821","PRIME CK",4,0,4,34.00,34.00
,"Sales Order","08/22/2019","09/21/2019","A32201","EXPO TRADING",6,0,6,51.00,51.00
,"Sales Order","10/01/2019","10/16/2019","A32422","BEAUTY CASTLE",12,0,12,102.00,102.00
,"Sales Order","05/20/2020","06/04/2020","A33649","BYESSENCE BEAUTY(J&D ENT.)",1,0,1,8.50,8.50
,"Sales Order","05/21/2020","06/05/2020","A33663","BEAUTY MART 1 (BEAUTY STORE)",1,0,1,12.00,12.00
,"Sales Order","06/29/2020","07/29/2020","A33891","PRIME CK",6,0,6,51.00,51.00
,"Sales Order","06/29/2020","06/29/2020","A33898","D&G TRADING",6,0,6,51.00,51.00
,"Sales Order","06/29/2020","07/29/2020","A33901","BEAUTY MARK (TUSCALOOSA, AL)",3,0,3,36.00,36.00
"Total K708 (SPAN DREADLOCKS BAND : BLACK (DZ/24 DZ))",,,,,,91,1,90,808.50,800.00
"K710 (DREADLOCKS TUBE : ASSORT (DZ/24 DZ))",,,,,,,,,,
,"Sales Order","06/28/2018","08/27/2018","A30008","YOUNG'S TRADING (GA)",12,9,3,144.00,36.00
,"Sales Order","06/28/2018","08/27/2018","A30009","PKNY INTERNATIONAL INC.",24,12,12,288.00,144.00
,"Sales Order","06/29/2018","08/28/2018","A30011","MISSION TRADING",6,0,6,72.00,72.00
,"Sales Order","06/29/2018","08/28/2018","A30012","WURI, INC.",6,0,6,72.00,72.00
,"Sales Order","06/29/2018","06/29/2018","A30016","CLORE CANADA INC.",3,0,3,36.00,36.00
,"Sales Order","07/02/2018","08/31/2018","A30019","SUN 3 TRADING LLC.",6,0,6,72.00,72.00
,"Sales Order","07/02/2018","07/17/2018","A30024","SUPER BEAUTY WORLD",1,0,1,16.50,16.50
,"Sales Order","07/02/2018","08/01/2018","A30025","BEAUTY WORLD SUPPLY (DURHAM)NC7",2,0,2,33.00,33.00
,"Sales Order","07/05/2018","07/05/2018","A30037","EBS IMPORT&WHOLESALE (GA)",1,0,1,12.00,12.00
,"Sales Order","07/05/2018","07/05/2018","A30038","CLORE CANADA INC.",3,0,3,36.00,36.00
,"Sales Order","07/06/2018","09/04/2018","A30046","WURI, INC.",9,0,9,108.00,108.00
,"Sales Order","07/09/2018","09/07/2018","A30054","SUN 3 TRADING LLC.",9,0,9,108.00,108.00
,"Sales Order","07/11/2018","09/09/2018","A30060","P&J TRADING (MD)",6,0,6,72.00,72.00
,"Sales Order","07/12/2018","07/12/2018","A30065","EBS IMPORT&WHOLESALE (GA)",1,0,1,12.00,12.00
,"Sales Order","07/17/2018","08/01/2018","A30093","2J GROUP, INC.",3,0,3,36.00,36.00
,"Sales Order","07/17/2018","08/16/2018","A30094","C&L TRADING OF MIAMI",24,12,12,288.00,144.00
,"Sales Order","07/19/2018","08/18/2018","A30105","DASO TRADING INC.",18,0,18,216.00,216.00
